datetime,pm25,pm10,o3,no2,so2,co,eu_aqi,aqi,city,temp,humidity,wind_speed,wind_dir,precip,pressure,cloud_cover,factories_2km,factories_5km,factories_10km,year,month,day,hour,day_of_week,is_weekend,day_of_year,season,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_roll_6h,pm25_roll_24h,pm25_roll_72h,aqi_category
2022-08-05 07:00:00,21.9,31.7,9.0,28.05,8.7,498.0,47.033333,70.762405,TP.HCM,25.6,93.374405,4.39436,304.9921,0.0,1007.1173,100.0,3,35,109,2022,8,5,7,4,0,217,Mưa,,,,,,21.899999618530273,21.899999618530273,21.899999618530273,Trung bình
2022-08-05 08:00:00,20.1,29.2,14.0,28.1,9.25,487.0,46.0,70.21277,TP.HCM,26.95,86.47713,9.904906,289.0936,0.0,1007.623,100.0,3,35,109,2022,8,5,8,4,0,217,Mưa,21.9,,,,,21.0,21.0,21.0,Trung bình
2022-08-05 09:00:00,18.2,26.4,21.0,28.15,10.1,470.0,45.94999,70.186165,TP.HCM,28.5,77.815475,11.542478,273.57626,0.0,1007.82965,100.0,3,35,109,2022,8,5,9,4,0,217,Mưa,20.1,,,,,20.066666920979817,20.066666920979817,20.066666920979817,Trung bình
2022-08-05 10:00:00,16.8,24.5,34.0,26.35,10.9,432.0,45.766663,70.088646,TP.HCM,29.5,75.21911,15.03835,281.0409,0.0,1007.4345,100.0,3,35,109,2022,8,5,10,4,0,217,Mưa,18.2,21.9,,,,19.25,19.25,19.25,Trung bình
2022-08-05 11:00:00,16.2,23.8,47.0,22.0,11.1,381.0,45.450005,69.92022,TP.HCM,30.35,70.56822,17.447933,291.80145,0.1,1007.03894,100.0,3,35,109,2022,8,5,11,4,0,217,Mưa,16.8,20.1,,,,18.64000015258789,18.64000015258789,18.64000015258789,Trung bình
2022-08-05 12:00:00,18.0,26.4,63.0,16.05,11.05,318.0,44.683342,69.51241,TP.HCM,31.0,69.01849,18.86139,293.6294,0.1,1006.4428,100.0,3,35,109,2022,8,5,12,4,0,217,Mưa,16.2,18.2,,,,18.53333346048991,18.53333346048991,18.53333346048991,Trung bình
2022-08-05 13:00:00,17.5,25.7,80.0,10.2,10.8,252.0,43.833336,69.06029,TP.HCM,31.05,68.411644,18.720001,292.6199,0.1,1005.1446,100.0,3,35,109,2022,8,5,13,4,0,217,Mưa,18.0,16.8,21.9,,,17.800000190734863,18.385714394705637,18.385714394705637,Trung bình
2022-08-05 14:00:00,16.7,24.5,88.0,7.9,10.4,223.0,42.450005,68.32447,TP.HCM,31.55,67.292,16.267857,294.86368,0.1,1003.9484,100.0,3,35,109,2022,8,5,14,4,0,217,Mưa,17.5,16.2,20.1,,,17.233333587646484,18.175000190734863,18.175000190734863,Trung bình
2022-08-05 15:00:00,15.4,22.6,93.0,6.95,9.85,207.0,40.966667,67.53546,TP.HCM,30.2,71.391266,18.391737,310.23627,1.7,1003.84265,100.0,3,35,109,2022,8,5,15,4,0,217,Mưa,16.7,18.0,18.2,,,16.766666730244953,17.866666793823242,17.866666793823242,Trung bình
2022-08-05 16:00:00,15.0,22.1,89.0,12.25,9.05,236.0,39.658337,66.65781,TP.HCM,26.5,84.38056,6.1305785,310.2363,6.4,1003.9257,100.0,3,35,109,2022,8,5,16,4,0,217,Mưa,15.4,17.5,16.8,,,16.46666685740153,17.580000114440917,17.580000114440917,Trung bình
