datetime,pm25,pm10,o3,no2,so2,co,eu_aqi,aqi,city
2022-08-05 07:00:00,20.3,29.0,44.0,17.3,8.1,345.0,72.503334,112.822914,Hà Nội
2022-08-05 08:00:00,17.2,24.7,54.0,17.95,9.7,372.0,71.83667,110.739586,Hà Nội
2022-08-05 09:00:00,17.8,25.5,68.0,18.85,11.95,410.0,71.409996,109.40626,Hà Nội
2022-08-05 10:00:00,20.4,29.1,87.0,20.0,14.7,456.0,70.91333,107.854164,Hà Nội
2022-08-05 11:00:00,22.2,31.8,98.0,20.4,15.85,476.0,70.43,106.34376,Hà Nội
2022-08-05 12:00:00,26.0,37.3,109.0,20.65,16.65,491.0,69.89333,104.666664,Hà Nội
2022-08-05 13:00:00,29.0,41.6,120.0,21.8,18.4,513.0,69.39,103.09374,Hà Nội
2022-08-05 14:00:00,31.4,44.8,128.0,22.3,21.35,529.0,68.90667,101.583336,Hà Nội
2022-08-05 15:00:00,34.1,48.8,135.0,23.0,25.0,545.0,68.4,100.000015,Hà Nội
2022-08-05 16:00:00,36.2,51.8,131.0,29.85,28.05,597.0,68.03333,99.024826,Hà Nội
2022-08-05 17:00:00,38.1,54.4,108.0,45.5,27.25,695.0,67.77334,98.33334,Hà Nội
2022-08-05 18:00:00,44.0,62.9,74.0,66.45,24.9,822.0,67.46001,97.5,Hà Nội
2022-08-05 19:00:00,50.9,72.9,40.0,97.75,27.15,1055.0,67.22667,96.87943,Hà Nội
2022-08-05 20:00:00,54.1,77.5,35.0,92.9,28.6,1027.0,66.83667,95.8422,Hà Nội
2022-08-05 21:00:00,55.8,79.9,28.0,85.95,30.65,986.0,66.583336,95.16844,Hà Nội
2022-08-05 22:00:00,56.8,81.3,20.0,77.2,32.0,930.0,66.386665,94.64539,Hà Nội
2022-08-05 23:00:00,58.2,83.4,17.0,73.1,31.0,897.0,66.32333,94.47695,Hà Nội
2022-08-06 00:00:00,57.9,82.9,16.0,69.8,28.9,866.0,66.490005,94.92021,Hà Nội
2022-08-06 01:00:00,56.1,80.3,17.0,62.7,25.35,802.0,66.9,96.010635,Hà Nội
2022-08-06 02:00:00,51.7,73.8,23.0,52.3,22.2,719.0,67.60333,97.8812,Hà Nội
2022-08-06 03:00:00,44.6,63.8,31.0,39.45,18.5,619.0,68.50667,100.333336,Hà Nội
2022-08-06 04:00:00,38.8,55.5,40.0,26.05,14.2,504.0,69.32667,102.89583,Hà Nội
2022-08-06 05:00:00,33.2,47.4,42.0,22.3,11.7,451.0,69.96333,104.885414,Hà Nội
2022-08-06 06:00:00,27.1,38.8,41.0,21.7,9.6,414.0,70.43667,106.364586,Hà Nội
2022-08-06 07:00:00,12.1,17.3,47.0,16.7,5.9,307.0,70.729996,107.28124,Hà Nội
2022-08-06 08:00:00,10.7,15.3,45.0,18.45,6.3,323.0,70.456665,106.42707,Hà Nội
2022-08-06 09:00:00,11.1,15.8,43.0,20.85,6.95,345.0,70.240005,105.75,Hà Nội
2022-08-06 10:00:00,13.1,18.7,44.0,22.5,7.95,361.0,70.01666,105.05206,Hà Nội
2022-08-06 11:00:00,16.1,23.1,50.0,20.8,8.9,350.0,69.77333,104.29166,Hà Nội
2022-08-06 12:00:00,15.9,22.7,60.0,17.6,10.0,328.0,69.57,103.656235,Hà Nội
2022-08-06 13:00:00,17.0,24.3,69.0,14.9,11.45,304.0,69.23333,102.60415,Hà Nội
2022-08-06 14:00:00,18.0,25.7,71.0,14.65,12.4,293.0,68.83333,101.35415,Hà Nội
2022-08-06 15:00:00,18.7,26.9,71.0,15.4,13.25,286.0,68.38666,99.96452,Hà Nội
2022-08-06 16:00:00,19.2,27.5,64.0,20.85,14.55,309.0,67.87333,98.59928,Hà Nội
2022-08-06 17:00:00,24.2,34.8,50.0,31.8,15.9,376.0,67.30666,97.09219,Hà Nội
2022-08-06 18:00:00,26.6,38.3,32.0,46.55,17.35,471.0,66.84333,95.859924,Hà Nội
2022-08-06 19:00:00,37.3,53.3,10.0,79.5,22.15,725.0,66.263336,94.317375,Hà Nội
2022-08-06 20:00:00,38.3,54.8,12.0,72.75,21.1,687.0,65.81,93.111694,Hà Nội
2022-08-06 21:00:00,34.5,49.5,15.0,63.05,19.6,632.0,65.28333,91.71099,Hà Nội
2022-08-06 22:00:00,32.8,47.0,19.0,51.3,17.5,562.0,64.57333,89.8227,Hà Nội
2022-08-06 23:00:00,30.6,44.0,21.0,45.75,16.1,526.0,63.77333,87.69504,Hà Nội
2022-08-07 00:00:00,27.6,39.8,23.0,41.45,14.65,495.0,62.853333,85.24822,Hà Nội
2022-08-07 01:00:00,26.3,38.0,26.0,35.1,12.75,447.0,61.843334,82.56205,Hà Nội
2022-08-07 02:00:00,25.6,36.9,31.0,28.15,11.25,395.0,60.85,79.92021,Hà Nội
2022-08-07 03:00:00,20.6,29.8,37.0,20.4,9.75,337.0,59.899994,77.60638,Hà Nội
2022-08-07 04:00:00,15.2,22.0,42.0,13.05,8.2,278.0,55.899994,75.47872,Hà Nội
2022-08-07 05:00:00,12.7,18.4,42.0,11.85,7.55,259.0,51.966652,73.38651,Hà Nội
2022-08-07 06:00:00,10.7,15.5,41.0,13.0,7.25,255.0,48.549995,71.569145,Hà Nội
2022-08-07 07:00:00,12.4,18.0,40.0,15.4,6.7,264.0,45.816673,70.11525,Hà Nội
2022-08-07 08:00:00,11.1,16.2,39.0,17.15,7.3,284.0,45.866676,70.14185,Hà Nội
2022-08-07 09:00:00,12.7,18.4,38.0,19.65,8.1,313.0,45.933342,70.17731,Hà Nội
2022-08-07 10:00:00,14.4,20.9,42.0,21.1,9.35,337.0,46.200012,70.31915,Hà Nội
2022-08-07 11:00:00,18.2,26.3,54.0,19.05,10.3,330.0,46.41668,70.4344,Hà Nội
2022-08-07 12:00:00,20.9,30.3,72.0,15.45,11.3,310.0,46.76667,70.620575,Hà Nội
2022-08-07 13:00:00,20.4,29.6,92.0,11.8,12.55,288.0,47.600014,71.06384,Hà Nội
2022-08-07 14:00:00,19.8,28.8,103.0,10.05,13.2,275.0,48.16668,71.36526,Hà Nội
2022-08-07 15:00:00,22.4,32.4,111.0,8.95,13.75,264.0,48.466675,71.524826,Hà Nội
2022-08-07 16:00:00,25.5,36.9,112.0,13.35,14.65,288.0,49.083344,71.85284,Hà Nội
2022-08-07 17:00:00,28.6,41.4,97.0,26.05,15.65,369.0,50.13334,72.411354,Hà Nội
2022-08-07 18:00:00,34.1,49.4,74.0,43.75,16.85,484.0,50.86667,72.80142,Hà Nội
2022-08-07 19:00:00,42.0,60.5,46.0,63.85,18.4,622.0,52.11667,73.46632,Hà Nội
2022-08-07 20:00:00,44.7,64.3,46.0,59.75,18.15,608.0,52.9,73.88298,Hà Nội
2022-08-07 21:00:00,48.7,70.1,46.0,53.95,17.7,589.0,53.966667,74.450356,Hà Nội
2022-08-07 22:00:00,54.9,78.9,44.0,48.6,16.55,586.0,56.333336,75.70922,Hà Nội
2022-08-07 23:00:00,56.2,80.6,38.0,49.85,14.9,629.0,60.003334,77.66844,Hà Nội
2022-08-08 00:00:00,47.0,67.5,30.0,53.5,12.75,693.0,60.856667,79.93795,Hà Nội
2022-08-08 01:00:00,39.5,56.6,23.0,53.7,10.1,732.0,61.503334,81.65781,Hà Nội
2022-08-08 02:00:00,34.2,49.1,24.0,45.4,8.5,680.0,61.943336,82.82802,Hà Nội
2022-08-08 03:00:00,31.4,45.1,29.0,32.95,7.1,586.0,62.23,83.59042,Hà Nội
2022-08-08 04:00:00,29.6,42.5,35.0,19.8,5.6,483.0,62.590004,84.547874,Hà Nội
2022-08-08 05:00:00,26.7,38.3,34.0,17.05,4.7,460.0,63.07,85.82447,Hà Nội
2022-08-08 06:00:00,24.1,34.6,32.0,17.5,4.0,458.0,63.536667,87.06561,Hà Nội
2022-08-08 07:00:00,20.3,29.3,38.0,17.35,5.5,391.0,63.98333,88.25355,Hà Nội
2022-08-08 08:00:00,18.6,27.0,46.0,15.85,6.3,364.0,64.246666,88.9539,Hà Nội
2022-08-08 09:00:00,17.8,26.1,58.0,13.65,7.5,325.0,64.496666,89.61879,Hà Nội
2022-08-08 10:00:00,16.8,24.7,76.0,10.85,8.65,280.0,64.666664,90.07093,Hà Nội
2022-08-08 11:00:00,19.2,28.2,92.0,8.95,8.85,261.0,64.746666,90.28368,Hà Nội
2022-08-08 12:00:00,21.9,32.1,109.0,7.1,8.7,248.0,64.78,90.37234,Hà Nội
2022-08-08 13:00:00,23.1,33.9,125.0,5.8,8.5,238.0,64.81333,90.46099,Hà Nội
2022-08-08 14:00:00,22.6,33.2,130.0,5.35,8.45,231.0,64.90333,90.700356,Hà Nội
2022-08-08 15:00:00,21.6,31.9,131.0,5.55,8.4,227.0,64.99666,90.94857,Hà Nội
2022-08-08 16:00:00,22.1,32.5,121.0,9.45,8.3,239.0,64.97,90.877655,Hà Nội
2022-08-08 17:00:00,22.1,32.5,100.0,17.4,8.0,266.0,64.85666,90.57623,Hà Nội
2022-08-08 18:00:00,22.9,33.4,71.0,28.25,7.6,306.0,64.64,89.99999,Hà Nội
2022-08-08 19:00:00,23.4,33.9,57.0,25.15,10.95,315.0,64.26666,89.00709,Hà Nội
2022-08-08 20:00:00,24.0,34.7,53.0,25.05,10.95,313.0,63.646664,87.358154,Hà Nội
2022-08-08 21:00:00,26.1,37.6,48.0,24.85,10.95,311.0,62.956665,85.52305,Hà Nội
2022-08-08 22:00:00,29.3,42.3,43.0,24.0,10.55,308.0,62.20333,83.5195,Hà Nội
2022-08-08 23:00:00,30.7,44.0,42.0,22.75,9.75,309.0,61.350002,81.25,Hà Nội
2022-08-09 00:00:00,26.7,38.3,41.0,21.05,8.6,311.0,60.5,78.989365,Hà Nội
2022-08-09 01:00:00,22.9,32.9,42.0,18.45,7.25,309.0,59.116676,77.18972,Hà Nội
2022-08-09 02:00:00,21.3,30.6,43.0,16.05,6.5,299.0,56.350006,75.71809,Hà Nội
2022-08-09 03:00:00,19.9,28.6,45.0,13.35,5.8,285.0,54.200005,74.57447,Hà Nội
2022-08-09 04:00:00,18.8,27.1,46.0,10.6,5.15,270.0,52.283333,73.55496,Hà Nội
2022-08-09 05:00:00,18.6,26.8,44.0,9.9,4.85,266.0,50.483337,72.59752,Hà Nội
2022-08-09 06:00:00,18.6,26.8,41.0,9.85,4.65,266.0,49.13333,71.87943,Hà Nội
2022-08-09 07:00:00,18.1,26.1,46.0,8.9,4.55,254.0,48.216667,71.391846,Hà Nội
2022-08-09 08:00:00,17.8,25.7,55.0,7.7,4.55,243.0,47.85,71.19681,Hà Nội
2022-08-09 09:00:00,16.6,24.3,69.0,6.05,4.65,227.0,47.716667,71.125885,Hà Nội
2022-08-09 10:00:00,17.6,25.7,86.0,5.1,5.75,220.0,47.516663,71.0195,Hà Nội
2022-08-09 11:00:00,18.2,26.8,97.0,6.1,7.85,233.0,47.649994,71.09042,Hà Nội
2022-08-09 12:00:00,19.6,28.6,106.0,8.0,10.75,256.0,47.48333,71.00177,Hà Nội
2022-08-09 13:00:00,22.3,32.6,116.0,11.7,15.05,297.0,50.666664,70.797874,Hà Nội
2022-08-09 14:00:00,25.0,36.6,121.0,15.3,18.9,336.0,54.0,70.72695,Hà Nội
2022-08-09 15:00:00,26.4,38.5,123.0,19.65,23.15,382.0,55.333332,70.93972,Hà Nội
2022-08-09 16:00:00,28.8,42.0,119.0,25.8,27.05,443.0,52.666664,71.36525,Hà Nội
2022-08-09 17:00:00,31.7,46.0,106.0,31.4,27.6,491.0,49.283333,71.95922,Hà Nội
2022-08-09 18:00:00,36.8,53.3,87.0,37.5,26.8,540.0,50.88333,72.81028,Hà Nội
2022-08-09 19:00:00,54.6,78.7,99.0,32.25,32.55,548.0,53.19999,74.04255,Hà Nội
2022-08-09 20:00:00,70.5,101.3,91.0,32.85,33.95,564.0,58.399994,76.80851,Hà Nội
2022-08-09 21:00:00,85.4,122.9,79.0,33.7,35.9,586.0,61.230003,80.930855,Hà Nội
2022-08-09 22:00:00,96.2,138.3,64.0,33.85,36.35,604.0,63.20667,86.18795,Hà Nội
2022-08-09 23:00:00,101.5,145.3,54.0,32.4,33.15,598.0,65.43667,92.1188,Hà Nội
2022-08-10 00:00:00,86.1,123.9,44.0,30.2,28.1,581.0,67.79667,98.3954,Hà Nội
2022-08-10 01:00:00,66.6,95.5,34.0,27.9,22.45,565.0,69.77667,104.302086,Hà Nội
2022-08-10 02:00:00,61.7,88.5,30.0,28.05,20.9,570.0,71.23334,108.85417,Hà Nội
2022-08-10 03:00:00,58.0,83.4,29.0,29.0,20.5,582.0,72.58,113.0625,Hà Nội
2022-08-10 04:00:00,58.6,84.1,30.0,28.35,19.25,579.0,73.850006,117.03125,Hà Nội
2022-08-10 05:00:00,48.5,69.6,31.0,24.8,16.5,550.0,75.17667,121.177086,Hà Nội
2022-08-10 06:00:00,41.9,60.1,33.0,19.6,12.95,506.0,76.17333,124.29166,Hà Nội
2022-08-10 07:00:00,31.0,44.4,40.0,10.4,7.3,367.0,76.95,126.718735,Hà Nội
2022-08-10 08:00:00,25.4,36.4,53.0,8.3,7.1,325.0,77.38,128.06252,Hà Nội
2022-08-10 09:00:00,19.8,28.7,71.0,5.35,6.8,267.0,77.63333,128.85417,Hà Nội
2022-08-10 10:00:00,15.9,23.1,88.0,3.7,7.45,217.0,77.740005,129.1875,Hà Nội
2022-08-10 11:00:00,16.1,23.4,88.0,4.9,8.5,212.0,77.683334,129.01042,Hà Nội
2022-08-10 12:00:00,17.2,24.9,82.0,7.7,10.15,227.0,77.613335,128.79167,Hà Nội
2022-08-10 13:00:00,16.9,24.4,68.0,15.8,15.8,307.0,77.53333,128.54167,Hà Nội
2022-08-10 14:00:00,21.8,31.4,52.0,28.3,26.1,454.0,77.35333,127.97916,Hà Nội
2022-08-10 15:00:00,22.6,32.6,31.0,44.4,39.5,650.0,77.246666,127.645836,Hà Nội
2022-08-10 16:00:00,29.9,42.8,10.0,60.85,50.85,843.0,77.119995,127.24999,Hà Nội
2022-08-10 17:00:00,32.7,46.9,4.0,65.8,48.95,881.0,77.15667,127.364586,Hà Nội
2022-08-10 18:00:00,33.4,47.8,4.0,66.75,41.6,863.0,77.19,127.46875,Hà Nội
2022-08-10 19:00:00,31.4,44.9,20.0,45.45,24.7,593.0,77.07667,127.11459,Hà Nội
2022-08-10 20:00:00,34.5,49.4,24.0,40.65,21.45,555.0,76.30334,124.69792,Hà Nội
2022-08-10 21:00:00,31.4,45.1,29.0,33.75,16.8,501.0,75.10333,120.94792,Hà Nội
2022-08-10 22:00:00,28.3,40.6,35.0,25.2,11.35,429.0,73.30334,115.32294,Hà Nội
2022-08-10 23:00:00,25.4,36.4,39.0,20.6,8.95,384.0,71.04001,108.25002,Hà Nội
2022-08-11 00:00:00,22.6,32.4,42.0,16.65,7.25,340.0,68.503334,100.32293,Hà Nội
2022-08-11 01:00:00,18.6,26.6,46.0,12.3,5.55,289.0,66.386665,94.64539,Hà Nội
2022-08-11 02:00:00,15.3,21.9,48.0,9.75,4.5,257.0,64.78667,90.39007,Hà Nội
2022-08-11 03:00:00,12.9,18.5,51.0,7.75,3.75,229.0,63.239998,86.27659,Hà Nội
2022-08-11 04:00:00,11.8,16.9,52.0,5.95,3.15,202.0,61.736664,82.278366,Hà Nội
2022-08-11 05:00:00,11.3,16.2,52.0,5.1,2.95,190.0,60.176662,78.129425,Hà Nội
2022-08-11 06:00:00,11.1,15.9,50.0,4.7,3.0,184.0,54.683327,74.83156,Hà Nội
2022-08-11 07:00:00,13.1,18.7,44.0,6.75,4.3,202.0,49.549988,72.10106,Hà Nội
2022-08-11 08:00:00,15.0,21.4,41.0,9.05,4.85,209.0,46.56665,70.514175,Hà Nội
2022-08-11 09:00:00,16.3,23.3,36.0,12.45,5.8,220.0,44.83332,69.59219,Hà Nội
2022-08-11 10:00:00,20.5,29.2,29.0,18.9,10.85,293.0,44.249992,69.28191,Hà Nội
2022-08-11 11:00:00,26.7,38.2,24.0,26.4,20.75,440.0,45.016655,69.68971,Hà Nội
2022-08-11 12:00:00,28.5,40.7,19.0,35.45,33.85,637.0,46.783325,70.62943,Hà Nội
2022-08-11 13:00:00,28.3,40.6,16.0,44.9,46.45,827.0,48.666656,71.6312,Hà Nội
2022-08-11 14:00:00,29.2,42.1,19.0,48.25,48.1,853.0,50.566658,72.64184,Hà Nội
2022-08-11 15:00:00,26.9,39.0,25.0,49.6,45.75,818.0,51.799995,73.29787,Hà Nội
2022-08-11 16:00:00,26.1,38.0,31.0,48.7,39.75,734.0,52.516663,73.67908,Hà Nội
2022-08-11 17:00:00,23.9,34.9,31.0,45.8,33.2,649.0,51.883324,73.34219,Hà Nội
2022-08-11 18:00:00,20.5,30.3,30.0,41.1,24.75,539.0,50.416664,72.56206,Hà Nội
2022-08-11 19:00:00,22.6,33.4,45.0,31.65,17.65,424.0,48.266663,71.41844,Hà Nội
2022-08-11 20:00:00,22.8,33.8,48.0,26.9,14.5,375.0,46.799995,70.6383,Hà Nội
2022-08-11 21:00:00,19.2,28.6,52.0,20.1,10.0,306.0,44.85,69.60107,Hà Nội
2022-08-11 22:00:00,15.5,23.5,56.0,12.45,5.15,230.0,42.816673,68.51951,Hà Nội
2022-08-11 23:00:00,12.3,18.6,58.0,9.45,3.6,204.0,40.683342,67.38476,Hà Nội
2022-08-12 00:00:00,9.4,14.1,59.0,7.65,3.05,192.0,39.25,66.223404,Hà Nội
2022-08-12 01:00:00,8.0,12.0,59.0,6.25,2.9,185.0,38.149998,65.05319,Hà Nội
2022-08-12 02:00:00,7.8,11.6,57.0,5.9,3.15,184.0,37.266666,64.11347,Hà Nội
2022-08-12 03:00:00,8.2,12.2,54.0,6.25,3.8,189.0,36.641663,63.448578,Hà Nội
2022-08-12 04:00:00,9.0,13.1,51.0,6.7,4.5,194.0,36.249996,63.031914,Hà Nội
2022-08-12 05:00:00,9.2,13.4,49.0,6.6,4.4,193.0,36.016666,62.783688,Hà Nội
2022-08-12 06:00:00,9.3,13.6,48.0,6.45,4.1,190.0,35.841667,62.59752,Hà Nội
2022-08-12 07:00:00,13.4,19.4,52.0,7.0,6.75,197.0,35.691666,62.43794,Hà Nội
2022-08-12 08:00:00,11.5,16.8,52.0,7.35,6.9,198.0,35.716663,62.464535,Hà Nội
2022-08-12 09:00:00,13.5,19.6,52.0,8.0,7.25,201.0,35.425,62.15426,Hà Nội
2022-08-12 10:00:00,15.0,21.6,50.0,11.85,10.75,242.0,35.191666,61.90603,Hà Nội
2022-08-12 11:00:00,19.8,28.5,46.0,19.05,17.8,325.0,34.733334,61.418438,Hà Nội
2022-08-12 12:00:00,23.3,33.5,40.0,28.65,27.35,438.0,34.15833,60.806732,Hà Nội
2022-08-12 13:00:00,27.5,39.6,33.0,40.2,38.2,581.0,33.725,60.345745,Hà Nội
