datetime,pm25,pm10,o3,no2,so2,co,eu_aqi,aqi,city
2022-08-05 07:00:00,21.9,31.7,9.0,28.05,8.7,498.0,47.033333,70.762405,TP.HCM
2022-08-05 08:00:00,20.1,29.2,14.0,28.1,9.25,487.0,46.0,70.21277,TP.HCM
2022-08-05 09:00:00,18.2,26.4,21.0,28.15,10.1,470.0,45.94999,70.186165,TP.HCM
2022-08-05 10:00:00,16.8,24.5,34.0,26.35,10.9,432.0,45.766663,70.088646,TP.HCM
2022-08-05 11:00:00,16.2,23.8,47.0,22.0,11.1,381.0,45.450005,69.92022,TP.HCM
2022-08-05 12:00:00,18.0,26.4,63.0,16.05,11.05,318.0,44.683342,69.51241,TP.HCM
2022-08-05 13:00:00,17.5,25.7,80.0,10.2,10.8,252.0,43.833336,69.06029,TP.HCM
2022-08-05 14:00:00,16.7,24.5,88.0,7.9,10.4,223.0,42.450005,68.32447,TP.HCM
2022-08-05 15:00:00,15.4,22.6,93.0,6.95,9.85,207.0,40.966667,67.53546,TP.HCM
2022-08-05 16:00:00,15.0,22.1,89.0,12.25,9.05,236.0,39.658337,66.65781,TP.HCM
2022-08-05 17:00:00,15.9,23.3,70.0,26.6,8.4,334.0,38.825,65.77128,TP.HCM
2022-08-05 18:00:00,22.6,32.8,41.0,46.65,7.7,475.0,38.033337,64.92908,TP.HCM
2022-08-05 19:00:00,18.0,26.0,10.0,57.0,7.45,544.0,37.783337,64.663124,TP.HCM
2022-08-05 20:00:00,15.4,22.1,8.0,56.2,7.95,581.0,36.633335,63.439716,TP.HCM
2022-08-05 21:00:00,17.3,24.9,6.0,55.1,8.65,632.0,36.183334,62.960995,TP.HCM
2022-08-05 22:00:00,20.8,29.8,4.0,53.7,10.1,672.0,36.25,63.031914,TP.HCM
2022-08-05 23:00:00,23.3,33.5,3.0,53.45,12.05,656.0,36.666664,63.475174,TP.HCM
2022-08-06 00:00:00,24.6,35.4,3.0,53.45,14.5,617.0,37.141663,63.98049,TP.HCM
2022-08-06 01:00:00,26.4,38.0,3.0,51.7,16.2,560.0,37.674995,64.54787,TP.HCM
2022-08-06 02:00:00,25.1,36.2,3.0,47.8,15.15,526.0,38.29166,65.203896,TP.HCM
2022-08-06 03:00:00,22.4,32.4,3.0,42.5,12.8,493.0,38.799995,65.744675,TP.HCM
2022-08-06 04:00:00,18.3,26.7,5.0,35.45,9.95,445.0,39.124996,66.09042,TP.HCM
2022-08-06 05:00:00,15.5,22.8,8.0,30.55,8.55,400.0,38.933327,65.88652,TP.HCM
2022-08-06 06:00:00,13.9,20.5,11.0,25.75,7.4,352.0,38.49166,65.41666,TP.HCM
2022-08-06 07:00:00,12.6,18.6,18.0,20.75,6.25,297.0,37.94166,64.83156,TP.HCM
2022-08-06 08:00:00,11.1,16.4,18.0,21.5,7.6,310.0,37.166664,64.007095,TP.HCM
2022-08-06 09:00:00,10.4,15.3,19.0,22.5,9.55,328.0,36.416664,63.209217,TP.HCM
2022-08-06 10:00:00,10.7,15.7,25.0,22.5,11.6,339.0,35.766666,62.51773,TP.HCM
2022-08-06 11:00:00,12.8,18.7,39.0,19.8,12.45,324.0,35.258335,61.97695,TP.HCM
2022-08-06 12:00:00,15.3,22.4,59.0,15.75,12.9,298.0,34.975002,61.675537,TP.HCM
2022-08-06 13:00:00,16.9,24.7,74.0,13.4,12.35,272.0,34.749996,61.436165,TP.HCM
2022-08-06 14:00:00,18.5,26.9,68.0,16.15,10.15,264.0,34.699997,61.382973,TP.HCM
2022-08-06 15:00:00,17.2,25.1,54.0,21.3,6.95,262.0,34.85,61.542553,TP.HCM
2022-08-06 16:00:00,16.2,23.5,35.0,29.2,4.2,294.0,35.0,61.702126,TP.HCM
2022-08-06 17:00:00,15.8,22.8,24.0,35.7,4.7,356.0,35.100002,61.808514,TP.HCM
2022-08-06 18:00:00,16.7,24.0,15.0,42.9,6.5,442.0,35.091667,61.799644,TP.HCM
2022-08-06 19:00:00,17.2,24.9,6.0,53.0,7.1,478.0,34.600002,61.276596,TP.HCM
2022-08-06 20:00:00,22.1,31.9,6.0,52.65,8.05,568.0,34.533337,61.20568,TP.HCM
2022-08-06 21:00:00,26.0,37.5,5.0,52.2,9.4,696.0,35.091667,61.799644,TP.HCM
2022-08-06 22:00:00,29.2,42.0,4.0,51.85,11.95,834.0,35.81667,62.570923,TP.HCM
2022-08-06 23:00:00,32.2,46.4,2.0,52.8,15.4,891.0,36.516674,63.315613,TP.HCM
2022-08-07 00:00:00,34.9,50.4,1.0,54.25,19.6,922.0,37.25834,64.104614,TP.HCM
2022-08-07 01:00:00,36.2,52.2,0.0,53.15,22.25,889.0,38.11667,65.01774,TP.HCM
2022-08-07 02:00:00,28.9,41.9,2.0,47.75,19.55,764.0,38.93334,65.886536,TP.HCM
2022-08-07 03:00:00,20.3,29.7,6.0,39.9,14.4,580.0,39.250004,66.223404,TP.HCM
2022-08-07 04:00:00,15.4,22.8,11.0,30.2,8.8,374.0,39.075,66.03724,TP.HCM
2022-08-07 05:00:00,12.0,17.6,16.0,24.65,7.5,298.0,38.833336,65.78014,TP.HCM
2022-08-07 06:00:00,10.2,14.9,21.0,19.75,7.4,257.0,38.541668,65.469864,TP.HCM
2022-08-07 07:00:00,12.0,17.7,25.0,17.4,8.9,262.0,38.233334,65.141846,TP.HCM
2022-08-07 08:00:00,11.5,17.1,22.0,20.15,10.25,297.0,38.183334,65.08865,TP.HCM
2022-08-07 09:00:00,12.5,18.6,19.0,24.0,12.15,347.0,38.216667,65.124115,TP.HCM
2022-08-07 10:00:00,15.3,22.5,22.0,26.55,14.2,389.0,38.391666,65.31028,TP.HCM
2022-08-07 11:00:00,17.4,25.7,39.0,23.4,14.95,375.0,38.774998,65.71809,TP.HCM
2022-08-07 12:00:00,20.3,30.2,64.0,17.85,15.3,339.0,39.158333,66.125885,TP.HCM
2022-08-07 13:00:00,22.2,33.2,83.0,14.5,14.85,303.0,39.574997,66.569145,TP.HCM
2022-08-07 14:00:00,18.0,26.7,72.0,18.9,13.25,301.0,40.033333,67.03901,TP.HCM
2022-08-07 15:00:00,17.8,26.0,48.0,26.75,10.9,309.0,39.975,66.99468,TP.HCM
2022-08-07 16:00:00,18.7,27.3,21.0,36.75,8.6,335.0,40.049995,67.04787,TP.HCM
2022-08-07 17:00:00,19.5,28.5,12.0,42.25,8.3,369.0,40.466667,67.2695,TP.HCM
2022-08-07 18:00:00,18.5,26.9,7.0,47.2,8.7,414.0,41.08333,67.59751,TP.HCM
