city,actual_category,rows,mae_ug_m3,median_abs_error_ug_m3,p90_abs_error_ug_m3
Hà Nội,Good,63,29.766950867668033,27.13581237792969,48.37525466918945
Hà Nội,Moderate,1828,14.920882732132592,12.377920532226563,30.951508865356445
Hà Nội,USG,1341,10.471478403761349,8.393010711669923,22.614926147460935
Hà Nội,Unhealthy,1490,22.677908034612667,19.812562942504883,46.40826171875
Hà Nội,Very Unhealthy,171,67.83451472053751,65.50047302246094,93.27911071777345
TP.HCM,Good,32,16.882205063104628,16.61531810760498,25.718942031860355
TP.HCM,Moderate,4007,5.808513012413138,4.872119903564453,11.904982070922852
TP.HCM,USG,686,9.91246245247977,9.52985610961914,18.539402770996094
TP.HCM,Unhealthy,168,32.7049363840194,32.284396743774415,46.75954246520997
Đà Nẵng,Good,456,8.1202960729599,7.371147918701173,12.035770225524903
Đà Nẵng,Moderate,4169,4.34466535458893,3.4514228820800774,9.088717956542968
Đà Nẵng,USG,200,10.631181020736694,9.460761451721194,19.987714080810548
Đà Nẵng,Unhealthy,68,22.918819943596333,20.07237091064453,41.96342643737794
