feature,importance
pm25,0.234113410115242
pm25_lag_1h,0.14659661054611206
pm25_same_hour_mean_7d,0.0774446576833725
pm25_same_hour_max_7d,0.047730375081300735
city_Hà Nội,0.046908121556043625
temp,0.025967147201299667
co,0.025337262079119682
pressure,0.014695581048727036
is_weekend,0.012985097244381905
pm25_same_hour_median_7d,0.011815530247986317
pm10,0.010187201201915741
wind_dir,0.0100560886785388
city_TP.HCM,0.010039586573839188
cloud_cover,0.009649482555687428
month_sin,0.009545977227389812
pm25_lag_72h,0.009414976462721825
pm25_std_168h,0.009009892120957375
pm25_pm10_ratio,0.008759232237935066
hour_cos,0.008131037466228008
pm25_roll_12h,0.008084941655397415
pm25_max_24h,0.007932948879897594
month,0.007726691197603941
season_Xuân,0.007617758121341467
pm25_std_12h,0.007219519000500441
no2,0.007130044046789408
day_of_year,0.007126123644411564
day_of_week,0.0069519756361842155
day_sin,0.00687436293810606
pm25_lag_12h,0.006871212273836136
pm25_std_24h,0.006720731966197491
pm25_delta_24h,0.0066666193306446075
pm25_roll_6h,0.006494949571788311
hour,0.006460279691964388
wind_x,0.006458716932684183
pm25_lag_24h,0.006283354014158249
pm25_roll_24h,0.006153509486466646
wind_y,0.006044102367013693
pm25_lag_96h,0.00596863916143775
pm25_lag_168h,0.005884245503693819
day_cos,0.005829825531691313
pm25_std_6h,0.005692187696695328
pm25_roll_72h,0.0056572770699858665
hour_sin,0.005507787689566612
pm25_same_hour_min_7d,0.005482159089297056
city_Đà Nẵng,0.0053719705902040005
pm25_delta_3h,0.00526657048612833
pm25_lag_48h,0.005265558138489723
pm25_std_72h,0.005232418421655893
no2_co_ratio,0.005012359004467726
month_cos,0.004974006675183773
humidity,0.004925414454191923
wind_speed,0.004710083361715078
pm25_lag_120h,0.004615463316440582
season_Đông,0.004503821954131126
pm25_min_24h,0.004385382868349552
pm25_lag_144h,0.004249028395861387
pm25_roll_168h,0.003976680338382721
season_Thu,0.003875462105497718
pm25_roll_ratio_24h_72h,0.0038356687873601913
pm25_weekly_delta,0.0036299515049904585
precip,0.00342968269251287
pm25_same_hour_std_7d,0.003351486288011074
pm25_roll_ratio_6h_24h,0.0032930246088653803
o3,0.003113823477178812
pm25_lag_6h,0.0030792769975960255
pm25_lag_3h,0.0029124219436198473
pm25_same_hour_ratio_7d,0.002708534710109234
so2,0.002612397773191333
humid_stagnation,0.0025900895707309246
pm25_delta_1h,0.002375512383878231
ventilation_index,0.001971795689314604
rain_flag,0.0015048764180392027
calm_wind,0.0
high_humidity,0.0
season_Hạ,0.0
