feature,mean_importance,std_importance
pm25,0.16033796774960743,0.2166377902354409
pm25_roll_12h,0.09611293802542302,0.12542665877423395
pm25_roll_24h,0.08016736260227238,0.08946717243622232
city_Hà Nội,0.051169538870453835,0.021533742734128426
pm25_roll_6h,0.044785298780576945,0.08736058579703299
pm25_lag_12h,0.0399506616522558,0.06147743303435668
pm10,0.02925420679578868,0.05280374962664359
pm25_lag_6h,0.02621723553844883,0.046664932932879606
pm25_lag_1h,0.025857472510930773,0.05690088652679743
pm25_lag_3h,0.02346780904432914,0.038555554194427556
pm25_max_24h,0.020905885146930814,0.026964080319780617
humidity,0.014423181991636133,0.008986268628570347
city_Đà Nẵng,0.013762455181373904,0.005045490951960416
pressure,0.013508805099263554,0.0068828356004989565
hour_cos,0.012770446434539432,0.006657531954250589
city_TP.HCM,0.012709250790067017,0.008719070191844971
pm25_same_hour_max_7d,0.012321046603271194,0.019805991848778317
pm25_delta_24h,0.012237280837628836,0.0069778366524755
hour_sin,0.012169947032816708,0.006169398678325411
pm25_delta_1h,0.011723346644430421,0.010406772138312613
wind_speed,0.01153266970262242,0.005156474649950293
pm25_min_24h,0.011205195827642456,0.009761772028770767
temp,0.010455884599650744,0.007515226445672998
pm25_same_hour_mean_7d,0.01017897559601503,0.019238960259625987
pm25_std_168h,0.009839415336803844,0.004500690168711828
wind_y,0.00949371287424583,0.0053543471274862565
pm25_roll_168h,0.009306366725165086,0.004939987900601196
hour,0.009053983298751215,0.00364519121908324
co,0.008236098418516727,0.007810827915567964
pm25_same_hour_ratio_7d,0.00812693025363842,0.00793522667644451
day_of_year,0.008081257796826927,0.0032318709511599667
cloud_cover,0.007197940598416608,0.0029693001489720823
pm25_roll_ratio_6h_24h,0.006959212347283028,0.0043069360327226075
pm25_delta_3h,0.006736391961264114,0.006251653590771499
month,0.006328791658840298,0.0024086296292443058
no2,0.00632526244832358,0.002255022921203133
no2_co_ratio,0.006083668687400253,0.004775613762841394
pm25_pm10_ratio,0.005845964449690655,0.0026380244884820817
day_of_week,0.0056113874876852305,0.0024565468201277764
day_cos,0.005502354455529712,0.0020455475085909723
wind_dir,0.005330401099248168,0.0019616366667105293
season_Xuân,0.0053153626843898865,0.002574178464596882
pm25_roll_72h,0.005269168652982141,0.0015837631593694558
o3,0.005269022602684951,0.0032260917015365163
pm25_lag_168h,0.005189305459983491,0.0017757448631762359
day_sin,0.005128202644603637,0.001857570363080485
wind_x,0.004914760718141527,0.0028869293870000773
high_humidity,0.004858263026108034,0.01020395471582149
pm25_lag_72h,0.004655421015437848,0.0026989599543834515
month_cos,0.004384691341935347,0.0015336638347323575
pm25_std_24h,0.004147872890219635,0.0017642511846319422
pm25_same_hour_std_7d,0.004053283861139789,0.0020195744778270654
pm25_std_72h,0.003878576807134474,0.0014358784319736364
month_sin,0.003865086420167548,0.0028342492864546786
pm25_same_hour_min_7d,0.003738892606634181,0.002033219896992205
pm25_std_12h,0.003674653843821337,0.0015404994532441222
precip,0.0035569807441788726,0.0018425109355072996
pm25_lag_96h,0.003477301649885097,0.001538278296808425
pm25_lag_120h,0.0033667357517212317,0.0013385286793277603
pm25_roll_ratio_24h_72h,0.0033613389920598515,0.0010642259914006556
pm25_lag_48h,0.0032822254094450423,0.0012421886914332002
pm25_lag_24h,0.0032734071404168694,0.001809945271331414
pm25_lag_144h,0.003131807257886976,0.001029035472124574
pm25_std_6h,0.003109755456534913,0.001278993437054609
so2,0.003055266681864547,0.001534468464601379
pm25_same_hour_median_7d,0.003012978719198145,0.003044636301115365
pm25_weekly_delta,0.002868212827403719,0.0014722812835313067
is_weekend,0.0027851059664196023,0.004018370174159926
rain_flag,0.0024842450050831153,0.003103059318913127
season_Đông,0.002473325204240003,0.002500309758716484
humid_stagnation,0.0024492236358734467,0.001241757294414887
ventilation_index,0.002406887804681901,0.0011970922424575081
season_Thu,0.002231515126671487,0.0021075223208594433
season_Hạ,4.7110821469686925e-05,0.00023079494792817526
calm_wind,0.0,0.0
