city,source_time,target_time,horizon,actual_pm25,predicted_pm25,residual_ug_m3,abs_error_ug_m3,actual_category,predicted_category
Hà Nội,2026-04-24 06:00:00,2026-04-25 06:00:00,24,186.7,50.17960357666016,-136.52039642333983,136.52039642333983,Very Unhealthy,USG
Hà Nội,2026-04-24 11:00:00,2026-04-25 06:00:00,19,186.7,50.987770080566406,-135.71222991943358,135.71222991943358,Very Unhealthy,USG
Hà Nội,2026-04-24 08:00:00,2026-04-25 06:00:00,22,186.7,53.72734069824219,-132.9726593017578,132.9726593017578,Very Unhealthy,USG
Hà Nội,2026-04-24 12:00:00,2026-04-25 06:00:00,18,186.7,53.85417175292969,-132.8458282470703,132.8458282470703,Very Unhealthy,USG
Hà Nội,2026-04-24 07:00:00,2026-04-25 06:00:00,23,186.7,53.901649475097656,-132.79835052490233,132.79835052490233,Very Unhealthy,USG
Hà Nội,2026-04-24 14:00:00,2026-04-25 06:00:00,16,186.7,54.246726989746094,-132.4532730102539,132.4532730102539,Very Unhealthy,USG
Hà Nội,2026-04-24 15:00:00,2026-04-25 06:00:00,15,186.7,54.99842071533203,-131.70157928466796,131.70157928466796,Very Unhealthy,USG
Hà Nội,2026-04-24 17:00:00,2026-04-25 06:00:00,13,186.7,55.06789016723633,-131.63210983276366,131.63210983276366,Very Unhealthy,USG
Hà Nội,2026-04-24 05:00:00,2026-04-25 05:00:00,24,181.6,50.23346328735352,-131.36653671264648,131.36653671264648,Very Unhealthy,USG
Hà Nội,2026-04-24 09:00:00,2026-04-25 06:00:00,21,186.7,55.750282287597656,-130.94971771240233,130.94971771240233,Very Unhealthy,Unhealthy
Hà Nội,2026-04-24 10:00:00,2026-04-25 06:00:00,20,186.7,55.79019927978516,-130.90980072021483,130.90980072021483,Very Unhealthy,Unhealthy
Hà Nội,2026-04-24 13:00:00,2026-04-25 06:00:00,17,186.7,56.39516830444336,-130.30483169555663,130.30483169555663,Very Unhealthy,Unhealthy
Hà Nội,2026-04-24 19:00:00,2026-04-25 06:00:00,11,186.7,56.71196365356445,-129.98803634643554,129.98803634643554,Very Unhealthy,Unhealthy
Hà Nội,2026-04-24 16:00:00,2026-04-25 06:00:00,14,186.7,57.14107131958008,-129.5589286804199,129.5589286804199,Very Unhealthy,Unhealthy
Hà Nội,2026-04-24 06:00:00,2026-04-25 05:00:00,23,181.6,53.29793548583984,-128.30206451416015,128.30206451416015,Very Unhealthy,USG
Hà Nội,2026-04-24 13:00:00,2026-04-25 05:00:00,16,181.6,53.42169952392578,-128.1783004760742,128.1783004760742,Very Unhealthy,USG
Hà Nội,2026-04-24 11:00:00,2026-04-25 05:00:00,18,181.6,53.68221282958984,-127.91778717041015,127.91778717041015,Very Unhealthy,USG
Hà Nội,2026-04-23 11:00:00,2026-04-24 01:00:00,14,151.3,25.974369049072266,-125.32563095092775,125.32563095092775,Very Unhealthy,Moderate
Hà Nội,2026-04-24 15:00:00,2026-04-25 05:00:00,14,181.6,56.52677154541016,-125.07322845458984,125.07322845458984,Very Unhealthy,Unhealthy
Hà Nội,2026-04-24 08:00:00,2026-04-25 05:00:00,21,181.6,56.683380126953125,-124.91661987304687,124.91661987304687,Very Unhealthy,Unhealthy
