model,cv_fold,horizon,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
LSTM,1,1,13.225306547094151,7.980644849453162,0.7928600180574324,-3.1411829001245177
LSTM,1,2,14.640506229524483,8.881811156514797,0.7461547228626435,-3.3903876276376663
LSTM,1,3,16.151873294088105,9.856798237069027,0.6910703281313109,-3.749636170358369
LSTM,1,4,17.597142603816486,10.804779534539602,0.6334234575255644,-4.28820540136247
LSTM,1,5,18.724712204823184,11.548987578371573,0.5851866730472092,-4.529785723648875
LSTM,1,6,19.745783650787942,12.122592238548625,0.5389959890663921,-4.855361166055566
LSTM,1,7,20.404026049334202,12.543703496866092,0.507669490576524,-5.004789349494599
LSTM,1,8,20.85318480831396,12.798313035987695,0.4856983965022865,-5.155799859683043
LSTM,1,9,21.38787991797144,13.050171457653677,0.45893960211187435,-5.338762012971353
LSTM,1,10,21.488637549810527,13.14445955135565,0.4538027408502381,-5.001151503971088
LSTM,1,11,21.703681387443904,13.319324380603826,0.44279374379182035,-5.029293909030664
LSTM,1,12,21.75396477444368,13.366600876451956,0.4402116079547257,-4.885438114565004
LSTM,1,13,21.813759111843478,13.389218796147834,0.43719354519540354,-4.729281614197734
LSTM,1,14,21.89242076468832,13.515914154377445,0.43322599020101493,-4.67179398236325
LSTM,1,15,22.03934655087311,13.556059519709637,0.4257211369095457,-4.670597603226098
LSTM,1,16,22.052980483128884,13.500461128840122,0.42515390967753686,-4.664754375942232
LSTM,1,17,22.26443869460677,13.627354440633887,0.4142403200174083,-4.7170054254216875
LSTM,1,18,22.244242003259398,13.619326953673628,0.41547878597305987,-4.620098772136622
LSTM,1,19,22.280329608170813,13.613622582019653,0.41363230534481377,-4.637709559621476
LSTM,1,20,22.428555159427102,13.661562873702657,0.40580964869507175,-4.748827364398462
LSTM,1,21,22.519889291296334,13.676798099443786,0.4009091337506556,-4.886135024037293
LSTM,1,22,22.56327593630361,13.718064074115278,0.39852791622393624,-4.726021245567418
LSTM,1,23,22.63240314846926,13.728824679121745,0.3947681530317263,-4.8727168292629095
LSTM,1,24,22.72421074630617,13.827097570713498,0.38979397299456153,-4.923740534641161
LSTM,2,1,8.515252270148245,6.17755665803467,0.838179647714115,-0.7760183479171402
LSTM,2,2,10.021398160401798,7.293186512974033,0.7769710458433863,-0.9277772550806933
LSTM,2,3,11.52660185589838,8.358971401587366,0.7065472096858532,-1.0093416381539801
LSTM,2,4,13.032404545161938,9.354105985769415,0.6263451725681142,-1.5467333601086892
LSTM,2,5,14.080427624174423,10.060737379903408,0.5647052614189851,-1.6522080668552328
LSTM,2,6,14.913605011154976,10.623189106448637,0.5123284155128652,-1.8537864220073361
LSTM,2,7,15.498871952218925,11.005101666370948,0.4746730436090697,-2.031323618461861
LSTM,2,8,16.143611570071485,11.359397676017844,0.4311023947191117,-2.4272326204133026
LSTM,2,9,16.435650216832844,11.515983255209061,0.4112775696293618,-2.5435341110593166
LSTM,2,10,16.657785083796945,11.687477997821084,0.3961008868090995,-2.2835888799291344
LSTM,2,11,16.83419285199737,11.739410094123818,0.38429140161401176,-2.4713831308304473
LSTM,2,12,16.989692688245473,11.815955505202245,0.372974956295142,-2.4792236118362108
LSTM,2,13,17.15455598136891,11.900169087397959,0.3605688477914545,-2.6007878033693523
LSTM,2,14,17.076695618595494,11.850512198116002,0.36613582059432603,-2.408852570910091
LSTM,2,15,17.19955931532152,11.97217618476626,0.3566880451863189,-2.5239729171794485
LSTM,2,16,17.228836589750046,11.98441706129106,0.35412545221279557,-2.5441034004645235
LSTM,2,17,17.327033479956512,12.047767665981233,0.34632420782007933,-2.7920644305537334
LSTM,2,18,17.340495407561896,12.043762642337953,0.3448610747137365,-2.808785975998179
LSTM,2,19,17.3991386366586,12.160655765319138,0.3401536837572613,-2.639139226589391
LSTM,2,20,17.260899002985933,12.02375757115448,0.35045762352930776,-2.6174425140058744
LSTM,2,21,17.18950374343198,11.947478595833655,0.35588017413491624,-2.6527401560782415
LSTM,2,22,17.180847181615533,11.932459675506706,0.35673812339613964,-2.5696463980721824
LSTM,2,23,17.116255041478578,11.906043593445968,0.3618572460955005,-2.524529916557439
LSTM,2,24,16.993052961201165,11.836731291937513,0.37143652075762723,-2.536532983659764
LSTM,3,1,9.345838370724513,5.804553466318901,0.8378182137483239,-2.6010383767013368
LSTM,3,2,10.793231789628463,6.785689729048275,0.7829389330566459,-2.8007049255968557
LSTM,3,3,12.22177397411623,7.739675808180178,0.7205613685502086,-2.918328480173383
LSTM,3,4,13.726572993472564,8.73662317566292,0.6464283438091969,-3.448055624905029
LSTM,3,5,14.727844982510891,9.319527429457949,0.5923408580128665,-3.563301588817645
LSTM,3,6,15.54835684607925,9.77781761404524,0.5453564285329942,-3.8081118141748402
LSTM,3,7,15.989485904734849,10.010512701702801,0.5190811884305171,-3.9654796114575093
LSTM,3,8,16.34502779929332,10.239846268193755,0.49792153640343684,-4.141455574152539
LSTM,3,9,16.52617409837667,10.306282377389163,0.4876660507229369,-4.238230262161477
LSTM,3,10,16.46609245804217,10.33628611540283,0.49252945755019684,-3.849695962393491
LSTM,3,11,16.538640544396124,10.371242232707475,0.48929335641986804,-3.888726051299394
LSTM,3,12,16.587458114887983,10.484110646350148,0.4886050487321041,-3.8237894571269897
