model,cv_fold,origins_x,mean_horizon_rmse_ug_m3,mean_horizon_mae_ug_m3,global_rmse_ug_m3,global_mae_ug_m3,global_r2,global_bias_ug_m3,first_origin,last_origin,origins_y,rows_per_model,fold_rank
LSTM,1,979,20.63052293815939,12.618853802746452,20.793614419989897,12.618853802746456,0.4887226599964115,-4.634936502904981,2025-03-26 06:00:00,2025-05-06 00:00:00,979,70488,3.0
LSTM,2,979,15.71318194958454,11.024875190522934,15.902475621764372,11.024875190522938,0.44741560887114895,-2.2175312231704822,2025-05-06 01:00:00,2025-06-15 19:00:00,979,70488,2.0
LSTM,3,979,15.523075285832368,9.856570137092332,15.64506038117094,9.856570137092334,0.5502405361056173,-3.6573530490952306,2025-06-15 20:00:00,2025-07-26 14:00:00,979,70488,2.0
LSTM,4,978,15.951817137066874,9.4205157955623,16.064191580420303,9.4205157955623,0.5795669874215065,-1.7843175306235686,2025-07-26 15:00:00,2025-09-05 08:00:00,978,70416,2.0
LSTM,5,978,16.118265841703135,9.594442313232358,16.22098686258502,9.594442313232356,0.587038489429786,0.006183072867054754,2025-09-05 09:00:00,2025-10-16 02:00:00,978,70416,2.0
SARIMAX,1,979,20.252635041651725,12.09990625023837,20.846208916046567,12.09990625023837,0.48613298210868006,-2.1721798845869125,2025-03-26 06:00:00,2025-05-06 00:00:00,979,70488,2.0
SARIMAX,2,979,16.73543001390738,11.161482540525034,17.10463637039356,11.16148254052503,0.36071159426289645,-2.11977432072245,2025-05-06 01:00:00,2025-06-15 19:00:00,979,70488,3.0
SARIMAX,3,979,16.197803871536504,10.565690610731304,16.50879936548502,10.565690610731302,0.4992086690133072,-2.142742063696177,2025-06-15 20:00:00,2025-07-26 14:00:00,979,70488,3.0
SARIMAX,4,978,16.859292287026715,10.270131157633548,17.297723685237536,10.27013115763355,0.5125198111252782,-0.7946560710201666,2025-07-26 15:00:00,2025-09-05 08:00:00,978,70416,3.0
SARIMAX,5,978,18.40903240500418,10.851205212664894,18.834502904860308,10.851205212664894,0.44324598759870615,-0.09546115521420173,2025-09-05 09:00:00,2025-10-16 02:00:00,978,70416,3.0
XGBoost,1,979,18.084111666459687,11.065355136495702,18.666966892669386,11.065355136495702,0.5879555332275332,-1.94560617775371,2025-03-26 06:00:00,2025-05-06 00:00:00,979,70488,1.0
XGBoost,2,979,14.989270249424635,10.078934882163677,15.3332647400859,10.078934882163676,0.48626588719469876,-2.1760801775476315,2025-05-06 01:00:00,2025-06-15 19:00:00,979,70488,1.0
XGBoost,3,979,14.875387253768816,9.364368019017009,15.203474537998678,9.364368019017009,0.5752713809521597,-2.648025475923894,2025-06-15 20:00:00,2025-07-26 14:00:00,979,70488,1.0
XGBoost,4,978,15.269162945875417,8.955140692981582,15.703181216721216,8.955140692981583,0.5982514249779279,-1.6282825182186311,2025-07-26 15:00:00,2025-09-05 08:00:00,978,70416,1.0
XGBoost,5,978,15.788423387995849,9.354559936644788,16.19606591149124,9.354559936644787,0.5883064132812479,-0.7227066209223613,2025-09-05 09:00:00,2025-10-16 02:00:00,978,70416,1.0
