datetime,target_time,city,actual_pm25,predicted_pm25,abs_error_ug_m3,model,actual_category,predicted_category
2026-04-24 06:00:00,2026-04-25 06:00:00,Hà Nội,186.7,58.121768951416016,128.57823104858397,LSTM,Very Unhealthy,Unhealthy
2026-04-02 19:00:00,2026-04-03 19:00:00,Hà Nội,167.2,47.64236068725586,119.55763931274412,LSTM,Very Unhealthy,USG
2026-04-23 01:00:00,2026-04-24 01:00:00,Hà Nội,151.3,36.807350158691406,114.4926498413086,LSTM,Very Unhealthy,USG
2026-04-23 02:00:00,2026-04-24 02:00:00,Hà Nội,144.8,31.712032318115234,113.08796768188478,LSTM,Very Unhealthy,Moderate
2026-04-24 05:00:00,2026-04-25 05:00:00,Hà Nội,181.6,75.4060287475586,106.1939712524414,LSTM,Very Unhealthy,Unhealthy
2026-04-02 20:00:00,2026-04-03 20:00:00,Hà Nội,148.1,43.95738220214844,104.14261779785156,LSTM,Very Unhealthy,USG
2026-04-23 03:00:00,2026-04-24 03:00:00,Hà Nội,134.6,30.77022361755371,103.82977638244628,LSTM,Very Unhealthy,Moderate
2026-04-23 00:00:00,2026-04-24 00:00:00,Hà Nội,140.6,38.37397003173828,102.22602996826171,LSTM,Very Unhealthy,USG
2026-04-11 19:00:00,2026-04-12 19:00:00,Hà Nội,185.3,83.94792938232422,101.3520706176758,LSTM,Very Unhealthy,Unhealthy
2025-12-01 21:00:00,2025-12-02 21:00:00,Hà Nội,161.6,60.63949203491211,100.96050796508788,LSTM,Very Unhealthy,Unhealthy
2026-04-24 07:00:00,2026-04-25 07:00:00,Hà Nội,155.1,54.9578857421875,100.1421142578125,LSTM,Very Unhealthy,USG
2025-12-01 22:00:00,2025-12-02 22:00:00,Hà Nội,158.3,58.73931884765625,99.56068115234376,LSTM,Very Unhealthy,Unhealthy
2026-04-05 12:00:00,2026-04-06 12:00:00,Hà Nội,165.8,67.6807632446289,98.1192367553711,LSTM,Very Unhealthy,Unhealthy
2026-04-05 13:00:00,2026-04-06 13:00:00,Hà Nội,164.8,70.32442474365234,94.47557525634768,LSTM,Very Unhealthy,Unhealthy
2025-12-02 01:00:00,2025-12-03 01:00:00,Hà Nội,146.7,53.89361190795898,92.806388092041,LSTM,Very Unhealthy,USG
2025-12-01 20:00:00,2025-12-02 20:00:00,Hà Nội,156.5,64.13549041748047,92.36450958251952,LSTM,Very Unhealthy,Unhealthy
2025-12-01 23:00:00,2025-12-02 23:00:00,Hà Nội,149.5,57.2100830078125,92.2899169921875,LSTM,Very Unhealthy,Unhealthy
2026-04-22 23:00:00,2026-04-23 23:00:00,Hà Nội,134.6,43.36010360717773,91.23989639282226,LSTM,Very Unhealthy,USG
2026-04-05 11:00:00,2026-04-06 11:00:00,Hà Nội,155.5,64.30390930175781,91.1960906982422,LSTM,Very Unhealthy,Unhealthy
2025-12-02 02:00:00,2025-12-03 02:00:00,Hà Nội,143.4,52.77409744262695,90.62590255737304,LSTM,Very Unhealthy,USG
2026-04-05 14:00:00,2026-04-06 14:00:00,Hà Nội,162.1,72.3764419555664,89.72355804443359,LSTM,Very Unhealthy,Unhealthy
2025-12-02 00:00:00,2025-12-03 00:00:00,Hà Nội,144.4,55.44959259033203,88.95040740966797,LSTM,Very Unhealthy,Unhealthy
2026-04-05 15:00:00,2026-04-06 15:00:00,Hà Nội,160.7,73.4395751953125,87.26042480468749,LSTM,Very Unhealthy,Unhealthy
2026-04-24 04:00:00,2026-04-25 04:00:00,Hà Nội,173.7,87.40335083007812,86.29664916992186,LSTM,Very Unhealthy,Unhealthy
2026-02-09 00:00:00,2026-02-10 00:00:00,Hà Nội,117.3,33.4040641784668,83.8959358215332,LSTM,Unhealthy,Moderate
