model,split,horizon,rows,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
LSTM,test,1,14679,10.45154706197759,6.744214740495638,0.8233170318136135,-0.1111050553344253
LSTM,test,2,14679,11.595965330441349,7.430038954199915,0.7825373001448473,-0.30440475686839463
LSTM,test,3,14679,12.734634009595775,8.12136246166467,0.7377287925067262,-0.4429519716339867
LSTM,test,4,14679,13.803303019062911,8.760070266979607,0.6918341959812055,-0.6730366846660604
LSTM,test,5,14679,14.500333868483274,9.233205224987078,0.6598928517808877,-0.7566392846909518
LSTM,test,6,14679,15.129440180078529,9.621575028620704,0.6297111358481291,-0.7934698036771287
LSTM,test,7,14679,15.551337138130448,9.890101249978606,0.6087542248848834,-0.7859084264403244
LSTM,test,8,14679,15.784819834606683,10.051034244944317,0.5968979705752362,-0.8842510203053494
LSTM,test,9,14679,15.921986275551093,10.17129645509692,0.589843958817514,-0.7337861399777582
LSTM,test,10,14679,15.964409755319872,10.271705499557182,0.5876399859224746,-0.3320589019164165
LSTM,test,11,14679,15.87392646574138,10.279979628666812,0.5922888216601623,-0.19629909621409625
LSTM,test,12,14679,15.82708987421077,10.321070369523214,0.5946773452022116,0.01811308850059034
LSTM,test,13,14679,15.751780397378624,10.305526059803825,0.5985074174525977,0.1992184373970068
LSTM,test,14,14679,15.849640808749431,10.449046530360723,0.5934886340111769,0.5588148625769694
LSTM,test,15,14679,15.837448011258559,10.437449178326007,0.5941028383043799,0.6485973786947165
LSTM,test,16,14679,15.958080357422492,10.514243434308554,0.5878307984019129,0.8242784592377508
LSTM,test,17,14679,15.936729876398458,10.495077225356182,0.5888632987809815,0.807930080253476
LSTM,test,18,14679,15.982426368232778,10.52992031434729,0.5863794414322286,0.9476301411012107
LSTM,test,19,14679,16.123720990682276,10.607157299458326,0.5788266384049969,0.9391558369025115
LSTM,test,20,14679,16.194748785791486,10.61029144065956,0.5748807999735849,0.8149641173681275
LSTM,test,21,14679,16.288356529764958,10.62624377385741,0.5695663549852725,0.6784490319215699
LSTM,test,22,14679,16.34409757121259,10.653308656779434,0.5661679395005308,0.5845930531658542
LSTM,test,23,14679,16.33092428960063,10.617680316254313,0.5664197136338978,0.4506145671031338
LSTM,test,24,14679,16.50125774073123,10.710056871821797,0.5568780903238411,0.36512043410648853
LSTM,validation,1,14679,10.482267377105863,6.406854943990691,0.8260308210392144,-1.8070354079134707
LSTM,validation,2,14679,11.841687025882422,7.311922955365197,0.7779838352253498,-2.013196394711345
LSTM,validation,3,14679,13.215870714385717,8.227620169099504,0.7234745877896471,-2.1194972546778406
LSTM,validation,4,14679,14.59743189100591,9.08905371331301,0.6626543903877491,-2.5755763872108792
LSTM,validation,5,14679,15.604201360634473,9.685388579278609,0.6145438912867289,-2.7009126514689754
LSTM,validation,6,14679,16.453419806251027,10.173446009011121,0.571462306760367,-2.8622602749734933
LSTM,validation,7,14679,16.9780513879874,10.483315691560398,0.5437111926997261,-2.978134514380966
LSTM,validation,8,14679,17.383133686676246,10.72852972323518,0.5216866945500338,-3.1174624817403362
LSTM,validation,9,14679,17.687920935345858,10.881827786563408,0.504772258209361,-3.156917564874936
LSTM,validation,10,14679,17.77636320195387,10.995181630857878,0.4998238579864125,-2.8175624482288484
LSTM,validation,11,14679,17.90003004987886,11.052617684816564,0.49286756457092673,-2.8119833496840108
LSTM,validation,12,14679,17.93438192338033,11.114318030714884,0.4909597300194788,-2.674222237385377
LSTM,validation,13,14679,17.99453793304972,11.142345502829873,0.48759225474000145,-2.69589995494598
LSTM,validation,14,14679,17.94005775875568,11.189799041716862,0.49074277216810036,-2.353229145107481
LSTM,validation,15,14679,18.023586566229554,11.25748564142388,0.4860405337953906,-2.3311210261093542
LSTM,validation,16,14679,18.032337205360502,11.258098193772264,0.485586785572386,-2.233039192497523
LSTM,validation,17,14679,18.14445611191875,11.331882877299178,0.4792359677765985,-2.3320151995553564
LSTM,validation,18,14679,18.174221530001333,11.345371871037122,0.47763630274015567,-2.297942193732517
LSTM,validation,19,14679,18.219153759361223,11.44200883917721,0.47518496029129353,-2.1167536539654286
LSTM,validation,20,14679,18.201185329228828,11.392842266408387,0.47639562073459174,-2.159589733061669
LSTM,validation,21,14679,18.222541429939568,11.382030374015155,0.47535024820967753,-2.2233581821034423
LSTM,validation,22,14679,18.251268409290635,11.385900505336707,0.47384050747994655,-2.1881651997834215
LSTM,validation,23,14679,18.27852159801675,11.391559793150174,0.4723776504100087,-2.1833385634498637
LSTM,validation,24,14679,18.30352137157403,11.413599422012267,0.47103385546964427,-2.2483592193533863
SARIMAX,test,1,14679,4.935753200230397,2.7567977416825764,0.9605959921248396,-0.05793601364646388
SARIMAX,test,2,14679,8.219294968154097,4.765352821296863,0.8907453092971467,-0.11379260030696965
SARIMAX,test,3,14679,10.75433202737709,6.334891566316724,0.812955664180311,-0.1665731244280893
SARIMAX,test,4,14679,12.696081045206597,7.56315880482908,0.7392899498430276,-0.21618803702793235
SARIMAX,test,5,14679,14.189360503480872,8.536625041118395,0.6743242652897561,-0.26399915036908916
SARIMAX,test,6,14679,15.341665423068314,9.299417468841188,0.6192499676171654,-0.3099814988738163
SARIMAX,test,7,14679,16.22188163505179,9.896465383175403,0.5742872630353086,-0.3559756197289921
SARIMAX,test,8,14679,16.86915149418265,10.35339604870551,0.5396138999738602,-0.40085011657741765
SARIMAX,test,9,14679,17.333992042446575,10.672116425582436,0.5138706885501035,-0.44418840772837515
SARIMAX,test,10,14679,17.652364696709384,10.891358348885381,0.4958304688472325,-0.48583965511932287
SARIMAX,test,11,14679,17.867148830364627,11.036964066063584,0.4834713675426635,-0.5264420555415944
SARIMAX,test,12,14679,18.026367680531514,11.154569472815306,0.4742065258112531,-0.5657655887356862
SARIMAX,test,13,14679,18.167742094207302,11.260437983939818,0.465902996433875,-0.6037844086733211
SARIMAX,test,14,14679,18.24197457049905,11.325608376478705,0.461510132431625,-0.640392186911508
SARIMAX,test,15,14679,18.237227726454982,11.339117368559515,0.46177576122843245,-0.6750065297746297
SARIMAX,test,16,14679,18.153090604204344,11.295289646950263,0.4666462017472929,-0.706594220011102
SARIMAX,test,17,14679,18.024686693022616,11.21936161405599,0.4740756571728405,-0.7364509184418825
SARIMAX,test,18,14679,17.877151099482667,11.125733074690686,0.4824964731672443,-0.7644720475622432
SARIMAX,test,19,14679,17.73516494820342,11.02961042694571,0.490433568557186,-0.7904065806855642
SARIMAX,test,20,14679,17.618982857481534,10.942870383959862,0.4968193234970658,-0.8155421828790166
SARIMAX,test,21,14679,17.53700281968775,10.881146575467977,0.5010438032823439,-0.8384686443095497
SARIMAX,test,22,14679,17.489056624350994,10.861674065147076,0.5032561274420682,-0.859430606203614
SARIMAX,test,23,14679,17.477982384574695,10.877559704036297,0.5033726974244108,-0.8793408819965165
SARIMAX,test,24,14679,17.506219224619773,10.930344253043868,0.5012603989191013,-0.8979485262023909
SARIMAX,validation,1,14679,5.449777217925237,3.201708596275554,0.952976024184917,-0.16665169794821996
SARIMAX,validation,2,14679,8.934653349160852,5.458593948576092,0.8736099593706645,-0.3237988634157567
SARIMAX,validation,3,14679,11.625398617738183,7.224458897070289,0.7860268935806316,-0.47321860315168435
SARIMAX,validation,4,14679,13.739756548660349,8.604900636877078,0.7011314459063589,-0.6150999778979069
SARIMAX,validation,5,14679,15.419685210144761,9.693349954852719,0.6236058573255152,-0.7509810744850532
SARIMAX,validation,6,14679,16.738471339949047,10.533391781448678,0.556485057780249,-0.8796722741748472
SARIMAX,validation,7,14679,17.779724381151407,11.212560279824933,0.4996035996807269,-1.0016518082357748
SARIMAX,validation,8,14679,18.60356558902541,11.73556988156457,0.45216635445330755,-1.117520364174328
SARIMAX,validation,9,14679,19.248669109917113,12.149613762263064,0.4135205457220378,-1.227799478078765
SARIMAX,validation,10,14679,19.719725498898438,12.423944291245643,0.38448467177198553,-1.3325771034832994
SARIMAX,validation,11,14679,20.03574803960492,12.603393357022886,0.3646325072777109,-1.4322696472516656
SARIMAX,validation,12,14679,20.216315101683527,12.703568491884536,0.3531801957749231,-1.52690202548232
SARIMAX,validation,13,14679,20.29896516721872,12.728449472851578,0.34794822145275606,-1.6163948840596336
SARIMAX,validation,14,14679,20.310768644873868,12.69513326169768,0.3472569653344433,-1.7008268902617931
SARIMAX,validation,15,14679,20.260286442405402,12.598995002895816,0.35056214704493993,-1.7815639008538267
SARIMAX,validation,16,14679,20.169573488213945,12.461560909576518,0.3564215324004384,-1.8598950232933478
SARIMAX,validation,17,14679,20.057916810226747,12.324091144410463,0.3636079826067543,-1.9353763515509268
SARIMAX,validation,18,14679,19.93571814926037,12.181055555276224,0.3714712872251492,-2.008440417087243
SARIMAX,validation,19,14679,19.808274005056134,12.042372352711736,0.37964092476084765,-2.078384103422471
SARIMAX,validation,20,14679,19.69529920270708,11.926327583413583,0.3869031394649012,-2.1456313655454586
SARIMAX,validation,21,14679,19.608550505516963,11.833481665850158,0.3925052047899499,-2.209879970944153
SARIMAX,validation,22,14679,19.559017864804975,11.794216160089311,0.3957378485326477,-2.27089904822366
SARIMAX,validation,23,14679,19.551776033434074,11.79435654009908,0.39631069972249955,-2.32896481759577
SARIMAX,validation,24,14679,19.572723265057224,11.831510784742688,0.39513133463951167,-2.3847102768309494
XGBoost,test,1,14679,4.010591209884306,2.156187094095187,0.9739834131150735,-0.005006070857850585
XGBoost,test,2,14679,6.641552818197458,3.877910539018774,0.9286637590156958,-0.14926927388221944
XGBoost,test,3,14679,8.986220638962253,5.444719634847734,0.8694034106478672,-0.3173027973764962
XGBoost,test,4,14679,10.538060297703032,6.580878587866748,0.8203861758468977,-0.2866184134275112
XGBoost,test,5,14679,11.913590387447323,7.561894923528556,0.7704141677490918,-0.29490455342164207
XGBoost,test,6,14679,12.854752430883174,8.176970973460842,0.7326855913952081,-0.5070718175960955
XGBoost,test,7,14679,13.564639838783568,8.650939273973911,0.7023329784858585,-0.5964231458896916
