city,actual_category,rows,mae_ug_m3,median_abs_error_ug_m3,p90_abs_error_ug_m3
Hà Nội,Good,63,30.077798679896762,28.016595458984376,48.25501724243164
Hà Nội,Moderate,1828,15.285845626730888,12.828388595581055,31.54776184082031
Hà Nội,USG,1341,10.276398378126128,8.248781585693358,22.424608612060545
Hà Nội,Unhealthy,1490,22.70850649251234,19.675478744506833,47.143777618408215
Hà Nội,Very Unhealthy,171,68.71100111398083,67.14516220092773,93.04476318359374
TP.HCM,Good,32,17.002443933486937,17.146315383911134,24.657060546875
TP.HCM,Moderate,4007,5.77943340917463,4.8229679107666,11.778908538818362
TP.HCM,USG,686,10.051910323095738,9.666710662841798,18.877444648742674
TP.HCM,Unhealthy,168,32.87448415756226,33.006943702697754,46.849796409606945
Đà Nẵng,Good,456,8.302844788317094,7.655010128021241,11.908839416503906
Đà Nẵng,Moderate,4169,4.3231085043211985,3.487652206420897,8.886674423217773
Đà Nẵng,USG,200,11.080739107131958,9.90092239379883,20.0281840133667
Đà Nẵng,Unhealthy,68,23.908691686742447,22.036826324462886,42.79634078979493
