feature,importance
pm25,0.17284570634365082
pm25_lag_1h,0.14668956398963928
pm25_roll_6h,0.12559446692466736
pm25_same_hour_mean_7d,0.05686165764927864
factories_10km,0.05349531024694443
factories_5km,0.03195260092616081
temp,0.023721540346741676
co,0.023407241329550743
pm25_same_hour_max_7d,0.021085940301418304
factory_density_5km,0.016234522685408592
city_TP.HCM,0.012649866752326488
pressure,0.012286501936614513
pm10,0.011555852368474007
cloud_cover,0.009084217250347137
pm25_pm10_ratio,0.008717923425137997
pm25_lag_72h,0.008525511249899864
pm25_same_hour_median_7d,0.00837638694792986
hour_cos,0.008196710608899593
season_Xuân,0.007247281260788441
pm25_std_168h,0.007221894338726997
pm25_std_12h,0.00694012688472867
pm25_max_24h,0.006893867626786232
is_weekend,0.006663304287940264
pm25_lag_12h,0.006585019640624523
day_of_year,0.006238217931240797
pm25_delta_3h,0.00612731883302331
no2,0.006079504732042551
month,0.00603105966001749
pm25_delta_24h,0.005978637840598822
day_of_week,0.005824378225952387
pm25_roll_24h,0.005809616297483444
day_sin,0.005747870542109013
wind_x,0.005744652822613716
day_cos,0.005481864791363478
wind_y,0.005469301249831915
pm25_std_6h,0.005290250293910503
hour,0.005275733303278685
pm25_roll_72h,0.005246432032436132
pm25_lag_96h,0.005181692540645599
wind_dir,0.0051195817068219185
pm25_roll_12h,0.005022719968110323
pm25_std_24h,0.004957135766744614
pm25_lag_168h,0.004778121132403612
hour_sin,0.004728072322905064
pm25_same_hour_min_7d,0.004691759590059519
pm25_std_72h,0.004427243024110794
pm25_lag_48h,0.004406129941344261
pm25_lag_3h,0.00439199386164546
month_cos,0.0043475995771586895
season_Thu,0.004278215579688549
factories_2km,0.004233778920024633
pm25_min_24h,0.004029768984764814
pm25_roll_ratio_24h_72h,0.0037905192002654076
month_sin,0.0036414065398275852
wind_speed,0.0035665829200297594
pm25_roll_168h,0.0035241704899817705
pm25_lag_120h,0.0035105785354971886
humidity,0.003476526355370879
pm25_same_hour_std_7d,0.0033540548756718636
pm25_weekly_delta,0.003351150546222925
no2_co_ratio,0.0033056719694286585
ventilation_index,0.0029347860254347324
pm25_lag_144h,0.002933206269517541
precip,0.002867398550733924
humid_stagnation,0.002864853013306856
pm25_lag_24h,0.002838076325133443
pm25_lag_6h,0.002532362937927246
season_Đông,0.0024161527398973703
pm25_roll_ratio_6h_24h,0.002405672101303935
o3,0.0023988133762031794
so2,0.002336750738322735
pm25_same_hour_ratio_7d,0.002246479969471693
pm25_delta_1h,0.0019330302020534873
high_humidity,0.0
calm_wind,0.0
rain_flag,0.0
factory_density_2km,0.0
city_Đà Nẵng,0.0
city_Hà Nội,0.0
factory_density_10km,0.0
season_Hạ,0.0
