round,train_rows,train_rmse_ug_m3,val_rmse_ug_m3
1,68829,19.84384695643177,25.455118469542025
2,68829,19.498050884466156,25.09571554250391
3,68829,19.17266800997093,24.756295515649597
4,68829,18.866957741086157,24.39245263383181
5,68829,18.58428116829413,24.039155802140925
6,68829,18.31251103530083,23.70866379215188
7,68829,18.054845873000197,23.445616177691097
8,68829,17.81199791102354,23.14860474869005
9,68829,17.58564750529592,22.879744662274742
10,68829,17.366059843723036,22.630814804179234
11,68829,17.16363520042647,22.3998864113279
12,68829,16.97514767733647,22.170704978001297
13,68829,16.793806830637184,21.94600608201825
14,68829,16.62022734898611,21.77672645297857
15,68829,16.461044035465342,21.58354779892543
16,68829,16.308102841522917,21.40320921443637
17,68829,16.167502418438144,21.225874579145124
18,68829,16.035596096840376,21.077088346620744
19,68829,15.907049498711316,20.95569341570042
20,68829,15.787502726841629,20.82774677739499
21,68829,15.67380651774668,20.69660171633771
22,68829,15.566016854525008,20.583148987016404
23,68829,15.46524392539421,20.464155447679143
24,68829,15.371038007239417,20.335662449708888
25,68829,15.279840122857204,20.24670397090303
26,68829,15.195468827649698,20.15406115964236
27,68829,15.11591191836883,20.05824859282783
28,68829,15.042872628567387,19.9636507317219
29,68829,14.972991562773426,19.88776362667844
30,68829,14.90797226725502,19.80960086040248
31,68829,14.842286452375872,19.74087977001357
32,68829,14.779953775538615,19.67447089129442
33,68829,14.724111892467652,19.60330257543324
34,68829,14.670059315319865,19.55510187866052
35,68829,14.619249388053586,19.509164891446478
36,68829,14.572668555201462,19.447957357421167
37,68829,14.526956647899745,19.395058667888154
38,68829,14.483320771464102,19.34880464025378
39,68829,14.44316145763917,19.303731455848347
40,68829,14.403208661729412,19.270430719043816
41,68829,14.368607985780493,19.23478362500994
42,68829,14.333734597066384,19.19088955732432
43,68829,14.300446387186948,19.155895310907244
44,68829,14.26767073104096,19.11530508123798
45,68829,14.237916083171577,19.080801881519232
46,68829,14.207588885578147,19.045929028886697
47,68829,14.180031159010108,19.016681562893098
48,68829,14.153555962844958,18.98137385783997
49,68829,14.12860697234755,18.954055392854503
50,68829,14.10685695281768,18.931347408964527
51,68829,14.083889761105125,18.909651939918948
52,68829,14.06234534692283,18.88134270919228
53,68829,14.03922490938142,18.828190497415296
54,68829,14.019112372891092,18.809317613386185
55,68829,13.999874243467165,18.78642561137004
56,68829,13.980596500387287,18.76749193323644
57,68829,13.963233536685648,18.74954121644461
58,68829,13.945143788874551,18.729295585521264
59,68829,13.92851743349111,18.713125557033653
60,68829,13.91083522373098,18.672803769479017
61,68829,13.895148294989976,18.654226310556545
62,68829,13.879006679956634,18.636664067291957
63,68829,13.863967617874229,18.62225003115088
64,68829,13.85013658234423,18.603913181406224
65,68829,13.837089166698886,18.586302613584504
66,68829,13.823368939226537,18.566548926872336
67,68829,13.808157167210206,18.528958518597776
68,68829,13.792017092488209,18.51106611885136
69,68829,13.778994726077938,18.48981035296661
70,68829,13.76605952163564,18.4784322670986
71,68829,13.755330409633125,18.47015658816125
72,68829,13.744625495034196,18.46318563143385
73,68829,13.73104334870094,18.45563738812937
74,68829,13.71860032564192,18.448196818831995
75,68829,13.706511696667848,18.43507441059924
76,68829,13.69710044146916,18.429064031515008
77,68829,13.683691570807596,18.41155162673894
78,68829,13.67055442789475,18.406225128611403
79,68829,13.660080945558713,18.39725693855204
80,68829,13.646829597951,18.39129200923818
81,68829,13.637805932700582,18.39091682861889
82,68829,13.626564585144187,18.38492687649121
83,68829,13.616232509869135,18.37981446168788
84,68829,13.60559360431529,18.37681909867392
85,68829,13.595104524593538,18.363464166794948
86,68829,13.585349850834604,18.353230922482595
87,68829,13.574039630227158,18.34998472648304
88,68829,13.565460777935144,18.34945269208163
89,68829,13.558386403616392,18.34985538174333
90,68829,13.549929870847972,18.338340481914184
91,68829,13.542467164337191,18.33044806110536
92,68829,13.532082347867822,18.3281795205892
93,68829,13.522762960611566,18.320891708808407
94,68829,13.513293440415154,18.321693698033947
95,68829,13.503723481824457,18.316579858140912
96,68829,13.494320426732484,18.314976848025196
97,68829,13.48613584768884,18.31577949666736
98,68829,13.47692512363878,18.29552362477137
99,68829,13.469594880120107,18.290545886113268
100,68829,13.461317848814044,18.28914599417016
101,68829,13.455370428865844,18.28338268734381
102,68829,13.444905393197445,18.26258871993033
103,68829,13.436910757859591,18.260799154264703
104,68829,13.428712031854472,18.25742489210484
105,68829,13.421331646452495,18.261755843213194
106,68829,13.413251001854784,18.26613893950062
107,68829,13.407417790679812,18.264481477539437
108,68829,13.400116210028228,18.259094302845117
109,68829,13.393066929258016,18.2536384935168
110,68829,13.38710433549124,18.251133882118296
111,68829,13.378107411879837,18.24628685839092
112,68829,13.373959167434789,18.24422781379861
